Datum;Region;Kundenpünktlichkeit KPP;KPP FV;KPP RV;KAP;KAP FV;KAP RV;ZPK;ZPK FV;ZPK RV;KCOR;cor;Schlüssel
2021-03-09;NETZ;95.4326904334;94.2780492834;96.1517008476;96.2299131943;94.9474001355;96.9576048458;93.4309645813;94.0468108915;93.3214617323;97.7347908601;99.103421707;2021-03-09 00:00:00-NETZ
2021-03-11;RSD;92.5195589079;91.0937077587;93.78944138;93.790789692;92.6564254684;94.6666638016;89.4405223688;89.3089171975;89.4927745665;98.1266175125;98.4631690514;2021-03-11 00:00:00-RSD
2021-03-11;RWT;89.7294500475;89.0696866863;90.6048870277;91.6928550176;91.5198057872;91.9100631692;85.2119048942;87.7922109337;84.4426696474;97.2366473793;97.7918287938;2021-03-11 00:00:00-RWT
2021-01-31;RWT;95.6251488397;94.4469431026;97.5829559971;96.2991416518;95.4422369477;97.5748773842;94.7935190485;95.3733880422;94.5776749869;99.2812748727;99.4650723726;2021-01-31 00:00:00-RWT
2021-02-03;ROT;93.6774486626;91.3332624339;94.4787523231;94.0467682251;91.7089803969;94.7445121827;93.5382987727;92.4061784897;93.6536488692;96.9585287916;99.1188866574;2021-02-03 00:00:00-ROT
2021-02-04;ROT;89.9873290237;91.2912535028;89.5446643085;90.8532809;91.3191677967;90.7135969087;93.5595105967;92.6818181818;93.649525086;96.0709376485;98.8492422529;2021-02-04 00:00:00-ROT
2021-02-04;RSD;91.8646584712;89.8720023393;93.6344673585;92.8131428359;90.8316198808;94.3474687012;92.118675013;91.5883164673;92.3285402257;98.7223992547;99.3036957686;2021-02-04 00:00:00-RSD
2021-02-04;RWT;93.8748289372;93.4785377816;94.4106404784;94.9019441838;94.4245672907;95.5194012136;91.8408198866;93.5585009141;91.3026918671;98.0459092924;99.0809315606;2021-02-04 00:00:00-RWT
2021-04-06;NETZ;95.3763337744;93.8041253753;96.3575560028;96.0756870811;94.5434350143;96.9416340781;93.2954467478;93.9375045925;93.1815907433;98.0460712231;99.1497057008;2021-04-06 00:00:00-NETZ
2021-05-27;NETZ;93.112862998;87.7191878581;96.4936475684;94.0042676272;89.1169631285;96.7565935514;91.7226139068;88.8416697315;92.230076055;96.3354495886;98.5919891732;2021-05-27 00:00:00-NETZ
2021-05-27;RME;91.2466622422;87.2717593147;95.1848817615;92.2622103148;88.6954239097;95.4692004334;91.1248923996;88.0478829213;91.792051756;96.0812569932;98.3945909572;2021-05-27 00:00:00-RME
2021-05-27;RSD;90.0773387667;88.0307809055;92.1834901391;89.4769079055;86.6077219132;92.037369212;88.3361581921;87.6818181818;88.6485809683;94.952199974;97.5499092559;2021-05-27 00:00:00-RSD
2021-05-28;ROT;94.0911142035;88.8844628536;95.8763170873;94.6176825776;89.8062813489;96.0484984539;95.0157428884;93.033749291;95.2213901068;96.6555458091;99.0473749413;2021-05-28 00:00:00-ROT
2021-08-27;NETZ;93.5780029403;90.4767165492;95.5515726468;94.1516743882;91.3307119352;95.7769850945;91.2605360802;90.9457831325;91.3188382015;97.3809951384;98.934229224;2021-08-27 00:00:00-NETZ
2021-08-27;ROT;96.1076685428;92.3732078964;97.391452472;96.5527018901;93.5631696668;97.4381396179;94.5628057649;92.8598183882;94.7378175031;97.8463413027;99.2518487552;2021-08-27 00:00:00-ROT
2021-08-27;RSD;92.2154224247;90.6575852847;93.7343211551;92.9963734144;90.7425034799;94.9117397367;88.9196428571;87.9827586207;89.3679867987;96.290782877;97.2209356183;2021-08-27 00:00:00-RSD
2021-08-28;RWT;93.4053541663;92.4082318039;95.2003228579;94.1544337612;93.3793518211;95.4251256625;92.3716770594;94.3428879827;91.6290439183;99.5211519738;99.2575092811;2021-08-28 00:00:00-RWT
2021-08-29;NETZ;95.1304265685;92.4697868891;97.181679285;96.1641655662;93.6300725323;97.8089381775;94.13009655;93.1437546194;94.3270011066;97.3824313764;99.1613804967;2021-08-29 00:00:00-NETZ
2021-08-29;RWT;93.8823476307;92.3175076976;96.6139826663;94.9911571266;93.5717293557;97.2323148771;94.0797435723;94.4282533399;93.9480792597;98.344180041;99.1266375546;2021-08-29 00:00:00-RWT
2021-01-15;RWT;80.2438463584;75.6717663253;86.3676334271;82.9819253743;79.6307501271;87.1566371544;81.8919370486;81.2710680487;82.0871351658;91.1878624951;95.4679013445;2021-01-15 00:00:00-RWT
2021-01-16;RME;85.660131528;83.2910566155;88.6343396093;87.434948693;85.3548207815;89.65790255;83.1130146226;85.9941711686;82.4381992541;93.872560255;96.9812817831;2021-01-16 00:00:00-RME
2021-01-16;RSD;92.5926893284;89.6318376137;95.5610941022;93.3703407684;90.2086464575;95.8457543835;92.8929054969;93.3342967245;92.7203389831;96.7455923727;97.3986690865;2021-01-16 00:00:00-RSD
2021-11-15;ROT;97.6676247196;95.0607176119;98.5603989954;97.9688495515;95.5860332972;98.6773707583;94.9081496682;94.2142857143;94.9795285542;98.5240367029;99.48257042;2021-11-15 00:00:00-ROT
2021-11-16;RWT;80.3697892948;75.2516575431;86.5999494664;81.097198143;75.7983690305;87.2004766196;83.1531742192;79.1951819076;84.2609219126;95.3543662686;98.0927736247;2021-11-16 00:00:00-RWT
2021-10-03;NETZ;93.6216747561;89.9343136359;96.5056595028;94.3515148123;90.578770037;96.8402233253;92.9465372215;91.1405433647;93.2966660879;97.5944262285;98.9396918385;2021-10-03 00:00:00-NETZ
2021-10-04;NETZ;88.7577042294;84.7855799411;91.2362109292;89.8193876616;86.0785164732;91.9260450006;87.1528842142;85.5441326903;87.4373611039;96.2723211103;98.5534624198;2021-10-04 00:00:00-NETZ
2021-10-05;RWT;87.4317024204;86.5644577498;88.5527219707;88.2392426239;87.7123611862;88.8867598917;82.3657422337;86.2518156774;81.3038732635;97.7916780067;99.1280653951;2021-10-05 00:00:00-RWT
2021-10-06;NETZ;89.7762441839;85.2198982782;92.5941009767;90.8328203913;86.325049366;93.359780739;86.4195674585;84.6549398469;86.7319826507;96.3869974482;98.3041851562;2021-10-06 00:00:00-NETZ
2021-10-06;ROT;93.0309543579;87.1756134336;95.0052775941;94.3367415396;88.7046539575;95.9847411726;91.6526758308;88.5534262485;91.9664178008;96.7876773062;98.557485904;2021-10-06 00:00:00-ROT
